_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
77975410-c740-11e7-ae37-617ddee8b477,1-4d128c4601104ed42a0e2fcd5efb877f,WS,Nesher,sensorData,json,2017-11-11T16:28:55.633-08:00,3.8,0,3.8,,,,,46,,,11,20,0,0,0,0.1,,,,,,,,0.2,,,,,,,,2017-11-11,16:28:55.633-08:00
7875a620-c740-11e7-a9dd-914287fc516e,1-cd46e9ad1a40320beebbb4f2cf9e2610,WS,Old-Market,sensorData,json,2017-11-11T16:28:57.090-08:00,3.9,0.3,4.4,23.15,1.2,24,24.5,58.7,3.2,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:57.090-08:00
787fdf50-c740-11e7-a297-b5cc7e104dd1,1-2ca5430c60dc2ed1080ec6e6fc9c37e3,WS,Kiryat-Tivon,sensorData,json,2017-11-11T16:28:57.157-08:00,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:57.157-08:00
788647f0-c740-11e7-ae37-617ddee8b477,1-d3b4161f7232995ff6a2b2d53ddcb1ef,WS,Kiryat-Binyamin,sensorData,json,2017-11-11T16:28:57.199-08:00,10,0,9,25.09,1.6,307,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:57.199-08:00
78995ac0-c740-11e7-90b6-a33da586196f,1-a9bb05195bb0d3bf93b6995aceae4dee,WS,Kiryat-Ata,sensorData,json,2017-11-11T16:28:57.324-08:00,5.1,-1.7,2.4,19.9,1.8,312,23.5,79.8,0,53,24.6,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:57.324-08:00
789f4e30-c740-11e7-90b6-81dfcd22b622,1-5ccb16aa01ef9cd49cc6f89ebb298d39,WS,Neve-Shaanan,sensorData,json,2017-11-11T16:28:57.363-08:00,4.5,-0.5,3.6,,2.4,0,,,-0.6,44,,23,0,-0.5,0,0.1,,,,,,,,,,,,,,,,2017-11-11,16:28:57.363-08:00
78ae9070-c740-11e7-a9dd-914287fc516e,1-dc87773703c4a5709b84fa949750de0a,WS,Daliat-el-Carmel,sensorData,json,2017-11-11T16:28:57.463-08:00,7.2,0.3,7.7,12.91,1.8,319,,,0.5,,19.4,,-0.2,0,-0.23,,24.7,0,,,,,,,,,,,,,,2017-11-11,16:28:57.463-08:00
78af7ad0-c740-11e7-8516-a1b443649ea9,1-3220b799c5badc7fc7bf1bc2ac7e37f6,WS,Shprintsak,sensorData,json,2017-11-11T16:28:57.469-08:00,16.5,-0.3,16,,1.9,331,21.4,77.2,1.5,5,10.9,23.9,,,,,24,,40,12.9,984,0,40,0.26,78,,,,,,,2017-11-11,16:28:57.469-08:00
78b14f90-c740-11e7-826b-4378d3375672,1-77e1bb4fc90e905aa908e0441bdafd65,WS,Ahuza,sensorData,json,2017-11-11T16:28:57.481-08:00,30.1,1.7,32.8,,,,25.7,55.5,0.2,14,16.1,30.1,,,,,24.2,,2,14,1004,0,,-0.04,,,,,,,,2017-11-11,16:28:57.481-08:00
78bb3aa0-c740-11e7-ad52-afff43ebfbca,1-b555a592d2c7006706daa74117d46417,WS,Igud,sensorData,json,2017-11-11T16:28:57.546-08:00,5.7,3.5,11.1,17.5,2.3,290,22.2,72.8,0.2,19,14.4,28.8,,,,,25.5,,44,14.3,1003,0,6.3,,,,,,,,,2017-11-11,16:28:57.546-08:00
78bb61b0-c740-11e7-ad52-afff43ebfbca,1-fd67e36022d22eb425ca2b877305b6bd,WS,Kiryat-Motzkin,sensorData,json,2017-11-11T16:28:57.547-08:00,12,0,11,9.35,4.1,328,27,78,0.6,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:57.547-08:00
78c59ae0-c740-11e7-8516-a1b443649ea9,1-7e17e342b5a4e61356af2aa916121f22,WS,Kiryat-Yam,sensorData,json,2017-11-11T16:28:57.614-08:00,11.6,-0.1,11.4,17,0.7,282,26.3,,0.7,,,,,,,,24.4,,,,,,,,56,,,,,,,2017-11-11,16:28:57.614-08:00
78df6470-c740-11e7-a297-b5cc7e104dd1,1-69d4ff36bc864408967d051d1bb7760e,WS,Kiryat-Bialik,sensorData,json,2017-11-11T16:28:57.783-08:00,19.9,1.3,21.9,27.97,0.8,354,26.9,81.1,0.3,17,20.3,24,0,0,-0.29,0.4,25.8,,30,,,0,,,63,36,13,56,0.53,,,2017-11-11,16:28:57.783-08:00
78e77ac1-c740-11e7-90b6-a33da586196f,1-7fdef1311dd4e55307d404bf40215414,WS,Nesher,sensorData,json,2017-11-11T16:28:57.836-08:00,5.8,0.2,6.1,,,,,44,,,12,21,0,0,0,0.1,,,,,,,,0.2,,,,,,,,2017-11-11,16:28:57.836-08:00
